
Loaded txt
1944360
  0%|          | 0/10000 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:56: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Validation Loss: 8.861689821060281e-06
Validation Loss: 8.641461135994177e-06
Validation Loss: 1.0541846677369904e-05
Validation Loss: 9.956464054994285e-06
Validation Loss: 1.3251471500552725e-05
Validation Loss: 9.629740816308185e-06
Validation Loss: 1.3566881534643471e-05
Validation Loss: 8.333870937349275e-06
Validation Loss: 9.239754035661463e-06
Validation Loss: 9.120199138124008e-06
Validation Loss: 1.1602596714510582e-05
Validation Loss: 8.251243343693204e-06
Validation Loss: 1.0726836080721114e-05
Validation Loss: 8.262555638793856e-06
Validation Loss: 1.1530698429851327e-05
Validation Loss: 9.637473340262659e-06
Validation Loss: 8.134687959682196e-06
Validation Loss: 8.80080278875539e-06
Validation Loss: 1.4051172001927625e-05
Validation Loss: 9.032069101522211e-06
Validation Loss: 1.4128385373624042e-05
Validation Loss: 1.0709560228860937e-05
Validation Loss: 1.987182804441545e-05
Validation Loss: 1.1591425391088706e-05
Validation Loss: 8.979849553725217e-06
Validation Loss: 9.979679816751741e-06
Validation Loss: 9.9171766123618e-06
Validation Loss: 1.0037707397714257e-05
Validation Loss: 1.1325844752718695e-05
Validation Loss: 8.438206350547262e-06
Validation Loss: 1.3122587006364483e-05
Validation Loss: 1.1578919838939328e-05
Validation Loss: 1.1227725735807326e-05
Validation Loss: 7.983188879734371e-06
Validation Loss: 6.72341275276267e-06
Validation Loss: 9.566975677444134e-06
Validation Loss: 1.3530662727134768e-05
Validation Loss: 1.0737516277004033e-05
Validation Loss: 7.5978546192345675e-06
Validation Loss: 9.684574251878075e-06
Validation Loss: 8.865262316248845e-06
Validation Loss: 1.0168389053433202e-05
Validation Loss: 8.534341759514064e-06
Validation Loss: 9.068005965673365e-06
Validation Loss: 7.867177373555023e-06
Validation Loss: 7.5427246883919e-06
Validation Loss: 9.5772693384788e-06
Validation Loss: 1.2489798791648354e-05
Epoch [200/10000], Loss: 5.628933649859391e-06
Validation Loss: 1.2855175555159803e-05
Validation Loss: 1.106240688386606e-05
Validation Loss: 1.0487602594366763e-05
Validation Loss: 1.665614399826154e-05
Validation Loss: 1.1651664863165934e-05
Validation Loss: 9.655296707933303e-06
Validation Loss: 1.845812948886305e-05
Validation Loss: 1.0109500180988107e-05
Validation Loss: 1.1239551895414479e-05
Validation Loss: 1.3071321518509649e-05
Validation Loss: 9.619509910407942e-06
Validation Loss: 1.3651803783432115e-05
Validation Loss: 8.65252786752535e-06
Validation Loss: 9.383509677718394e-06
Validation Loss: 1.0241018571832683e-05
Validation Loss: 1.2025562682538293e-05
Validation Loss: 1.2797902854799759e-05
Validation Loss: 8.35135142551735e-06
Validation Loss: 1.4531470696965698e-05
Validation Loss: 1.662339855101891e-05
Validation Loss: 8.844030162435956e-06
Validation Loss: 1.031486226565903e-05
Validation Loss: 1.0599291272228584e-05
Validation Loss: 1.1946569429710507e-05
Validation Loss: 1.2370930562610738e-05
Validation Loss: 1.0754005415947177e-05
